,resp,rt,acc,onset,onseterror,duration,durationerror,trialtype,matchtype,letter,location1,location2,location3,location4,content,wm,dt,runnum, blocknum,trialnum,subj_idx,response
1,4$,0.964898781,0,11.99899357,-0.001006434,0.499960464,-3.95E-05,verbalInit,Match,T,845,579,945,679,verbal,yes,no,1,1,1,1,1
2,4$,0.969088613,1,15.49878673,-0.001213274,0.49997938,-2.06E-05,verbalBaseline1,NonMatch,B,1015,456,1115,556,verbal,yes,no,1,1,1,1,1
3,1!,0.570330631,1,19.39858205,-0.001417954,0.499960128,-3.99E-05,verbalBaseline1,Match,L,975,579,1075,679,verbal,yes,no,1,1,1,1,0
4,4$,1.003447997,1,23.29834423,-0.001655771,0.499996686,-3.31E-06,VerbalDelayTaskCue,NonMatch,B,910,380,1010,480,verbal,yes,no,1,1,1,1,1
5,1!,0.949519672,0,26.39818281,-0.001817195,0.499970207,-2.98E-05,VerbalDelayBack,NonMatch,E,975,579,1075,679,verbal,yes,no,1,1,1,1,0
6,4$,1.168772829,0,29.89798366,-0.002016337,0.499973628,-2.64E-05,VerbalDelayBack,Match,T,910,380,1010,480,verbal,yes,no,1,1,1,1,1
7,1!,1.145892164,1,32.99782399,-0.002176015,0.499971012,-2.90E-05,VerbalDelayBack,Match,A,1015,456,1115,556,verbal,yes,no,1,1,1,1,0
8,1!,1.127129101,0,36.89760476,-0.002395235,0.499960329,-3.97E-05,ReturnVerbalDelayBack,NonMatch,L,805,456,905,556,verbal,yes,no,1,1,1,1,0
9,1!,1.159274952,1,39.9974278,-0.002572204,0.499973913,-2.61E-05,verbalBaseline2,Match,E,1015,456,1115,556,verbal,yes,no,1,1,1,1,0
10,4$,1.09052824,1,46.59705271,-0.00294729,0.500092345,9.23E-05,spatialInit,NonMatch,L,975,579,1075,679,spatial,no,no,1,2,10,1,1
11,1!,0.848693808,1,50.4968382,-0.003161799,0.499973913,-2.61E-05,spatialBaseline1,Match,E,805,456,905,556,spatial,no,no,1,2,10,1,0
12,1!,1.975840406,0,53.99664629,-0.003353714,0.499969587,-3.04E-05,spatialBaseline1,NonMatch,T,975,579,1075,679,spatial,no,no,1,2,10,1,0
