subj_idx,visit,response,rt,acc,cond,ctrl
0,1,1,0.9761,1,Dual,HH
0,1,1,0.6113,1,Dual,HH
0,1,1,0.487,1,Dual,HH
0,1,0,1.3333,1,Dual,HH
0,1,1,0.8145,1,Dual,HH
0,1,1,0.5656,1,Dual,HH
0,1,1,0.831,1,Dual,HH
0,1,1,0.5571,1,Dual,HH
0,1,0,0.7123,1,Dual,HH
0,1,1,0.5887,1,Dual,HH
0,1,1,0.6199,1,Dual,HH
0,1,0,0.68,1,Dual,HH
0,1,0,0.8154,1,Dual,HH
0,1,1,0.7404,1,Dual,HH
0,1,0,0.7556,1,Dual,HH
0,1,1,0.4993,1,Dual,HH
0,1,0,0.7035,1,Dual,HH
0,1,0,0.8623,1,Dual,HH
0,1,0,1.2075,1,Dual,HH
0,1,1,1.6716,1,Dual,HH
0,1,0,0.9308,1,Dual,HH
0,1,1,0.6054,1,Dual,HH
0,1,1,0.6025,1,Dual,HH
0,1,1,0.7187,1,Dual,HH
0,1,0,0.7298,1,Dual,HH
0,1,0,1.2858,1,Dual,HH
0,1,0,1.1983,1,Dual,HH
0,1,0,0.6604,1,Dual,HH
0,1,1,1.1496,1,Dual,HH
0,1,1,0.7698,1,Dual,HH
0,1,0,1.2636,1,Dual,HH
0,1,1,0.5578,1,Dual,HH
0,1,0,1.2952,1,Dual,HH
0,1,1,0.6354,1,Dual,HH
0,1,0,0.7645,1,Dual,HH
0,1,1,0.7637,1,Dual,HH
0,1,1,0.6492,1,Dual,HH
0,1,1,0.5243,1,Dual,HH
0,1,1,1.0404,1,Dual,HH
0,1,1,0.6866,1,Dual,HH
0,1,0,0.7617,1,Dual,HH
0,1,1,0.7669,1,Dual,HH
0,1,0,0.8728,1,Dual,HH
0,1,1,0.569,1,Dual,HH
0,1,1,0.4282,1,Dual,HH
0,1,1,0.5384,1,Dual,HH
0,1,1,1.2671,1,Dual,HH
0,1,1,0.5753,1,Dual,HH
0,1,0,0.3354,1,Delay,HL
0,1,0,0.4526,1,Delay,HL
0,1,0,0.4247,1,Delay,HL
0,1,0,0.3839,1,Delay,HL
0,1,0,0.5283,1,Delay,HL
0,1,0,0.3395,1,Delay,HL
0,1,0,0.3257,1,Delay,HL
0,1,0,0.4662,1,Delay,HL
0,1,0,0.3363,1,Delay,HL
0,1,0,0.4196,1,Delay,HL
0,1,0,0.3907,1,Delay,HL
0,1,0,0.404,1,Delay,HL
0,1,0,0.3262,1,Delay,HL
0,1,0,0.5474,1,Delay,HL
0,1,0,0.4126,1,Delay,HL
0,1,0,0.3596,1,Delay,HL
0,1,0,0.4007,1,Delay,HL
0,1,0,0.4618,1,Delay,HL
0,1,0,0.4879,1,Delay,HL
0,1,0,0.5556,1,Delay,HL
0,1,0,0.3438,1,Delay,HL
0,1,0,0.3001,1,Delay,HL
0,1,0,0.3369,1,Delay,HL
0,1,0,0.4599,1,Delay,HL
0,1,0,0.3702,1,Delay,HL
0,1,0,0.3455,1,Delay,HL
0,1,0,0.3837,1,Delay,HL
0,1,0,0.612,1,Delay,HL
0,1,0,0.9281,1,Delay,HL
0,1,0,0.5423,1,Delay,HL
0,1,0,0.6254,1,Delay,HL
0,1,0,0.3085,1,Delay,HL
0,1,0,0.3267,1,Delay,HL
0,1,0,0.4379,1,Delay,HL
0,1,0,0.3144,1,Delay,HL
0,1,0,0.4115,1,Delay,HL
0,1,0,0.6747,1,Delay,HL
0,1,0,0.6926,1,Delay,HL
0,1,0,0.4478,1,Delay,HL
0,1,0,0.2639,1,Delay,HL
