mapID,study,fair,parameter,cond,estimate,pvalue,sig,Mean
1,tms,visit1,v,A,0.24970279566787035,0.07420000000000004,n.s.,0.24970279566787035
1,tms,visit1,v,0,0.8690201939306444,0,***,1.1187229895985147
1,tms,visit1,v,1,-0.10369178511741689,0.0993,n.s.,0.14601101055045346
1,tms,visit1,v,2,-0.1535756273215414,0.0386,*,0.09612716834632895
1,tms,visit1,a,A,1.2223683047498524,0,***,1.2223683047498524
1,tms,visit1,a,0,-0.42462794877195637,0,***,0.7977403559778959
1,tms,visit1,a,1,0.20264230750620912,0,***,1.4250106122560615
1,tms,visit1,a,2,0.037474897235512276,0.0766,n.s.,1.2598432019853647
1,tms,visit1,t,,0.2546191693549732,0,***,0.5092383387099464
2,tms,visit2,v,A,0.19425315170986335,0.13270000000000004,n.s.,0.19425315170986335
2,tms,visit2,v,0,0.6691810127428436,0,***,0.8634341644527069
2,tms,visit2,v,1,0.002883587251890338,0.4788,n.s.,0.19713673896175368
2,tms,visit2,v,2,-0.023344886529049654,0.4042,n.s.,0.1709082651808137
2,tms,visit2,a,A,1.147516216425902,0,***,1.147516216425902
2,tms,visit2,a,0,-0.30129813223807855,0,***,0.8462180841878235
2,tms,visit2,a,1,0.1928908764616037,0,***,1.3404070928875058
2,tms,visit2,a,2,-0.012812782536799072,0.3046,n.s.,1.1347034338891029
2,tms,visit2,t,,0.2453409888722432,0,***,0.4906819777444864
3,tms,visit3,v,A,0.12283386705426642,0.2277,n.s.,0.12283386705426642
3,tms,visit3,v,0,0.8124624205870576,0,***,0.9352962876413241
3,tms,visit3,v,1,0.004371290919760309,0.47230000000000005,n.s.,0.12720515797402673
3,tms,visit3,v,2,0.04097284364318809,0.32389999999999997,n.s.,0.1638067106974545
3,tms,visit3,a,A,1.1558161947873713,0,***,1.1558161947873713
3,tms,visit3,a,0,-0.3332717548376551,0,***,0.8225444399497162
3,tms,visit3,a,1,0.20578892749633013,0,***,1.3616051222837013
3,tms,visit3,a,2,-0.03386470516959275,0.0735,n.s.,1.1219514896177785
3,tms,visit3,t,,0.2434570627924209,0,***,0.4869141255848418
4,tms,visit4,v,A,-0.027750569148583603,0.4367,n.s.,-0.027750569148583603
4,tms,visit4,v,0,1.0070203125878991,0,***,0.9792697434393155
4,tms,visit4,v,1,0.1421574101470672,0.05020000000000002,n.s.,0.1144068409984836
4,tms,visit4,v,2,0.2750445309506994,0.0014999999999999458,**,0.24729396180211582
4,tms,visit4,a,A,1.1383441122641809,0,***,1.1383441122641809
4,tms,visit4,a,0,-0.3492473525853343,0,***,0.7890967596788465
4,tms,visit4,a,1,0.16975852545628806,0,***,1.308102637720469
4,tms,visit4,a,2,-0.04635284937517639,0.0264,*,1.0919912628890045
4,tms,visit4,t,,0.2549617602961446,0,***,0.5099235205922892
