mapID,study,fair,parameter,cond1,cond2,pvalue,sig
1,tms,visit1,v,A,0,0.004,**
1,tms,visit1,v,A,1,0.0474,*
1,tms,visit1,v,A,2,0.02939999999999998,*
1,tms,visit1,v,0,1,0,***
1,tms,visit1,v,0,2,0,***
1,tms,visit1,v,1,2,0.26970000000000005,n.s.
1,tms,visit1,a,A,0,0,***
1,tms,visit1,a,A,1,0,***
1,tms,visit1,a,A,2,0,***
1,tms,visit1,a,0,1,0,***
1,tms,visit1,a,0,2,0,***
1,tms,visit1,a,1,2,0,***
2,tms,visit2,v,A,0,0.0204,*
2,tms,visit2,v,A,1,0.1876,n.s.
2,tms,visit2,v,A,2,0.15590000000000004,n.s.
2,tms,visit2,v,0,1,0,***
2,tms,visit2,v,0,2,0,***
2,tms,visit2,v,1,2,0.3768,n.s.
2,tms,visit2,a,A,0,0,***
2,tms,visit2,a,A,1,0,***
2,tms,visit2,a,A,2,0,***
2,tms,visit2,a,0,1,0,***
2,tms,visit2,a,0,2,0,***
2,tms,visit2,a,1,2,0,***
3,tms,visit3,v,A,0,0.0013,**
3,tms,visit3,v,A,1,0.2882,n.s.
3,tms,visit3,v,A,2,0.3519,n.s.
3,tms,visit3,v,0,1,0,***
3,tms,visit3,v,0,2,0,***
3,tms,visit3,v,1,2,0.3323,n.s.
3,tms,visit3,a,A,0,0,***
3,tms,visit3,a,A,1,0,***
3,tms,visit3,a,A,2,0,***
3,tms,visit3,a,0,1,0,***
3,tms,visit3,a,0,2,0,***
3,tms,visit3,a,1,2,0,***
4,tms,visit4,v,A,0,0,***
4,tms,visit4,v,A,1,0.2058,n.s.
4,tms,visit4,v,A,2,0.0792,n.s.
4,tms,visit4,v,0,1,0,***
4,tms,visit4,v,0,2,0,***
4,tms,visit4,v,1,2,0.0669,n.s.
4,tms,visit4,a,A,0,0,***
4,tms,visit4,a,A,1,0,***
4,tms,visit4,a,A,2,0,***
4,tms,visit4,a,0,1,0,***
4,tms,visit4,a,0,2,0,***
4,tms,visit4,a,1,2,0,***
