subj_idx,stim,rt,response,theta,dbs,conf
0,LL,1.21,1,0.656275122,1,HC
0,WL,1.63,1,-0.327888672,1,LC
0,WW,1.03,1,-0.480284512,1,HC
0,WL,2.77,1,1.927427345,1,LC
0,WW,1.14,0,-0.213235726,1,HC
0,WL,1.15,1,-0.436203659,1,LC
0,LL,2,1,-0.274478914,1,HC
0,WL,1.04,0,0.666957074,1,LC
0,WW,0.857,1,0.118616899,1,HC
0,WL,1.5,0,0.823625695,1,LC
0,LL,1.72,1,0.649153821,1,HC
0,WL,0.656,0,0.093692346,1,LC
0,WW,1.72,1,-0.83207678,1,HC
0,LL,1.72,1,-0.13525748,1,HC
0,WL,1.36,1,-0.038051722,1,LC
0,WL,1.57,0,0.289528122,1,LC
0,LL,2.44,0,-0.497375635,1,HC
0,WL,2.36,0,0.079449744,1,LC
0,WL,1.38,1,0.990976268,1,LC
0,WL,1.01,1,-1.038594508,1,LC
0,LL,0.987,0,-0.999427353,1,HC
0,WL,1.01,0,1.282949608,1,LC
0,WW,2.38,1,-0.456784219,1,HC
0,WL,1.51,0,0.075889093,1,LC
0,LL,1.17,0,1.122720336,1,HC
0,WW,1.88,0,-0.278039565,1,HC
0,WL,1.05,1,-0.465685845,1,LC
0,WL,3.25,0,-0.200773449,1,LC
0,WL,1.53,1,3.444264452,1,LC
0,WW,0.972,1,0.104374297,1,HC
0,LL,2.84,0,0.090131695,1,HC
0,WL,1.6,0,0.147102103,1,LC
0,WL,2.74,1,-0.431111929,1,LC
0,WW,2.3,1,0.520970404,1,HC
0,LL,2.35,1,-0.122083074,1,HC
0,WL,1.53,1,1.799243928,1,LC
0,WW,1.7,1,0.19695121,1,HC
0,WL,0.661,1,-0.219644897,1,LC
0,LL,1.46,1,-0.059415625,1,HC
0,WW,1.96,1,-1.839740867,1,HC
0,LL,2.76,1,-0.664370142,1,HC
0,WL,2.17,1,0.065207142,1,LC
0,WL,0.782,1,-0.111401122,1,LC
0,WL,3.21,0,-0.316850655,1,LC
0,WL,1.91,1,-0.220000962,1,LC
0,LL,2.15,0,-0.418186768,1,HC
0,WW,3.15,0,-0.609536125,1,HC
0,WL,1.48,1,0.05096454,1,LC
0,WL,1.35,1,0.41771154,1,LC
0,WW,1.38,0,-0.034491072,1,HC
0,LL,1.38,0,-0.142022716,1,HC
0,WL,1.54,1,1.311434811,1,LC
0,LL,3.17,1,0.147102103,1,HC
0,WW,0.946,1,-0.736295282,1,HC
0,WL,2.24,1,0.097252996,1,LC
0,LL,3.83,0,-0.179409546,1,HC
0,WL,2.23,0,1.938109297,1,LC
0,WL,2.5,0,-0.892607839,1,LC
0,WW,1.2,1,0.396347637,1,HC
0,WL,1.65,1,2.030686209,1,LC
0,WL,1.59,0,0.011797385,1,LC
0,WW,1.2,1,0.264603569,1,HC
0,LL,1.49,0,-0.603126954,1,HC
0,WL,1.94,0,-0.293706427,1,LC
0,WW,1.56,0,0.246800317,1,HC
0,WL,1.83,0,-0.606687605,1,LC
0,LL,0.886,1,0.63847187,1,HC
0,WL,0.714,0,1.186812044,1,LC
0,WW,1.84,0,0.186269258,1,HC
0,WL,0.632,1,-0.881925887,1,LC
0,LL,0.968,1,-0.077218878,1,HC
0,WL,2.28,0,-1.740042654,1,LC
0,WL,1.98,0,-1.252233537,1,LC
0,LL,0.841,1,0.232557715,1,HC
0,WW,1.96,0,0.510288452,1,HC
0,WL,1.89,0,-0.631968223,1,LC
0,WW,2.35,0,-0.168727595,1,HC
0,WL,2.08,0,-1.184581178,1,LC
